,CatNum,DisplayNum,HeaderTextSize,Title,Info
TriggerRegions,6,2,38,Trigger Regions,"In the editor triggers are displayed as a sphere.<br>In reality they are sections of the track, we call these trigger regions.<br>This trigger prints a message on the screen."
TriggerSplineIndex,6,3,38,Trigger Spline Index,If you're attaching a trigger to a track with more than one spline<br>you can specify which spline it should use.<br>This way you can create different effects for different locations<br>on the track.<br>Here we have the brakes applied only to the carriage on the outside track.
TriggerAllSplines,6,4,38,Trigger Across All Splines,"If you want a trigger to effect all splines on a track, you can do it.<br>In this example the brake trigger is applied to all splines on the track."
JunctionTrigger,6,5,38,Junction Trigger,You can build a trigger to anything you need.<br>Here is an example of a trigger that switches the active connection<br>on the track so the second carriage takes a different route.
TriggerOptions,6,6,38,Trigger Options,"Trigers are designed to be customized and extended.<br>Each comes with a host of options, such as trigger once per carriage,<br>ignore helper bogies, and many more.<br>The events allow you to quickly setup custom triggers."
JumpTrigger,6,7,38,Jump Trigger,"While the jump trigger was designed to make the mine cart jump,<br>it can also scale and rotate.<br>Seen here you can use it to create some fun effects.<br>This is also an demo of the mine cart implementing logic on top of the<br>parent carriage class."

TrainsOverview,7,0,38,Trains,"Trains are chains of carriages.<br>There are two types of carriages, the 'engine' type<br>and the 'carriage' type. A train must have the engine as the<br>parent.<br><br>To create a train, add an engine to the tracks, then add<br>any carriages you want, just set the parent in the child<br>carriage using the selector.<br><br>By default parent settings are passed down to the<br>child carriages, but this can be disabled."
CreatingTrains,7,1,38,Creating Trains,"Trains, or a chain of carriages need the parent to be an engine,<br>this can be set in the carriage settings.<br>Just select the engine as the parent carriage and the child will snap<br>into location.<br>The parent engine will set the speed for all children."
ChildSettings,7,2,38,Parent Child Settings,Changes to the parent carriage are automatically passed down<br>to the children. This can be disabled should you need to customize<br>individual carriages.<br>UpdateSettingsFromParent function can be expanded to pass down<br>more or remove certain settings.
DistanceCheck,7,3,38,Distance Check,"With the distance check enabled, the child carriage will check<br>its distance to the parent, if it goes outside the limit, the carriage<br>will disconnect from the parent."
ParentLerpSpeed,7,4,38,Parent lerp speed,"Child carriages get their speed from their parents. The child carriage<br>will then lerp to this value.<br>By controlling the lerp you can create a nice speed up, speed down effect.<br>This effect is best viewed riding on the carriage, viewing the<br>connection between carriages, as shown in the screenshot on the left."

CoasterIntro,8,0,38,Coaster Example,"This is a simple coaster example. The whole track setup<br>took less than 7 minutes.<br>This is a perfect example map for actor merging.<br>You'll notice with large track pieces like this it takes<br>longer to load, merging the spline mesh into a static mesh<br>will speed this up.<br><br>This is a quick example to illustrate rapid setup and<br>prototyping, in a real project you'll want to spend a<br>bit more time on the spline bends to get them looking<br>perfect."

RollIntro,9,0,38,Roll Examples,"This map contains examples that show off the roll feature.<br>This will allow you to create tracks<br>with advanced twists and turns, like<br>a corkscrew or banking.<br><br>NOTE: It's important to understand that the roll option<br>is a visual and will require the spline point to be rotated<br>to work.<br><br>See the examples for more details and the documentation."
PointRotation,9,1,38,Point Rotation,"Spline points must be rotated so the carriage follows the track.<br>Unreal currently does not allow Blueprint to set the spline point roll.<br>So it must be done by hand. To visualize this, in the track options<br>enable 'Show Up Dir' or 'Show Up Dir For All Points'"
RollVisualization,9,2,38,Roll Visualization,"You can visualize the roll by enabling the track option 'Show Roll Info'.<br>Each track has a start, middle and end roll."
VisualVsRotation,9,3,38,Roll vs. Rotation,"Here you can see a track that has visual roll, but the spline point<br>hasn't been rotated, so the mine cart behaves as if the track is level."
RotationTutorial,9,4,38,Roll Tutorial,"To rotate the spline point, select it in the editor and use the rotation tool.<br>The arrow can be used as a visual indicator."
MiddleRollSoften,9,5,38,Middle Roll Soften,"To keep extreme bends looking smooth, you can use the<br>'middle roll soften' option to even out the bend in the middle of the track."


SmoothIntro,10,0,38,Movement Smoothing,Movement smoothing allows you to<br>exercise more control over the carriage<br>movement on the tracks to create a smoother movement.<br><br>The carriage in red has no smoothing<br>turned on and as a result you can<br>see a slight stutter as it moves.<br>The carriage in green has it turned<br>on and the stutter is drastically reduced.<br><br>See the documentation for more details.
SmoothRotScale,10,1,24,Adjust Smoothing based on Rotation,"You can have the smoothing error tolerance adjust based on the track<br>rotation, this is handy for carriages rolling down hills."

CableCarIntro,11,0,38,Cable Car Example,This example shows how you can quickly build<br> more than just trains with the system.

TerrainIntro,12,0,38,Terrain Tracks,"Terrain tracks allow you to quickly<br>build tracks over landscapes or<br>uneven surfaces.<br><br>For each point on the spline a ray<br>will be cast down and where it<br>hits is where the track is placed,<br>allowing you to quickly build tracks<br>in large open world maps.<br><br>Take the time to check out the<br>examples and to understand track baking<br>to maximize performance.<br><br>As always, the docs have more info."
TerrainTrackBasics,12,1,38,Terrain Tracks Basics,"The tracks are simple, if the ray hits something<br>the track is placed at the hit point under it.<br>Move the control spline to place the track spline under it."
TerrainTrackPointCount,12,2,32,More points = More precision,"The more points you have, the better the result.<br>Here you can see a track with 2 points vs 8.<br>The green track has been merged."
TerrainTangents,12,3,38,Copying Tangents,You can copy tangents from the control spline to the track spline.<br>Having control like this is very useful when going from terrain to<br>a straight piece of track.
TerrainLargeExample,12,4,38,Large Example,Just a large real example of how the terrain track<br>can be used.
TerrainBake,12,5,32,Baking To Improve Performance,"Bake your tracks for max performance. When you're happy<br>with your track, bake it to a normal track<br>so it doesn't need to use line traces."
